LeHavre,Sochaux,1,1,D,,,2.38,3.15,3.81,2,,,,,,,,22/11/14,,,,,,,,,,,,,,,,,,2.24,,2.96,,3.4
Troyes,Nancy,1,0,H,,,2.2,3.35,4.18,1,,,,,,,,24/11/14,,,,,,,,,,,,,,,,,,2.09,,3.08,,3.67
Arles,Dijon,0,2,A,,,3.66,3.1,2.45,3,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,3.2,,2.97,,2.36
Brest,Creteil,2,2,D,,,1.77,3.7,6.1,2,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,1.69,,3.51,,5.08
Chateauroux,Niort,0,1,A,,,3.33,3.2,2.6,3,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,3.07,,3.02,,2.4
Laval,Auxerre,1,1,D,,,2.72,3.15,3.3,2,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,2.51,,2.97,,2.95
Nimes,LeHavre,3,3,D,,,2.95,3.1,2.95,2,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,2.69,,2.93,,2.77
Orleans,Ajaccio,1,1,D,,,2.27,3.25,3.95,2,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,2.14,,3.05,,3.6
Sochaux,Clermont,1,0,H,,,1.91,3.45,5.49,1,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,1.85,,3.2,,4.52
Tours,AjaccioGFCO,2,1,H,,,2.6,3.05,3.43,1,,,,,,,,28/11/14,,,,,,,,,,,,,,,,,,2.46,,2.91,,3.09
Angers,Troyes,0,3,A,,,2.69,3.2,3.13,3,,,,,,,,29/11/14,,,,,,,,,,,,,,,,,,2.53,,3.01,,2.84
Nancy,Valenciennes,0,1,A,,,1.8,3.85,6.2,3,,,,,,,,01/12/14,,,,,,,,,,,,,,,,,,1.66,,3.51,,5.24
Ajaccio,Nancy,2,0,H,,,2.68,3.12,3.15,1,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,2.52,,2.94,,2.96
AjaccioGFCO,Auxerre,1,1,D,,,2.74,3.09,3.1,2,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,2.54,,2.94,,2.9
Clermont,Tours,2,2,D,,,2.12,3.2,4.3,2,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,2.04,,3.08,,3.87
Creteil,Arles,2,0,H,,,1.96,3.4,5.1,1,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,1.88,,3.22,,4.31
LeHavre,Laval,0,1,A,,,2.08,3.2,4.75,3,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,1.98,,3.02,,4.21
Niort,Sochaux,0,1,A,,,2.2,3.2,4.25,3,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,2.06,,3.07,,3.78
Orleans,Angers,2,3,A,,,2.3,3.05,4.13,3,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,2.19,,2.92,,3.62
Valenciennes,Chateauroux,1,0,H,,,1.82,3.5,5.69,1,,,,,,,,12/12/14,,,,,,,,,,,,,,,,,,1.75,,3.32,,4.93
Dijon,Brest,1,0,H,,,2.08,3.2,4.95,1,,,,,,,,13/12/14,,,,,,,,,,,,,,,,,,1.96,,3.05,,4.18
Troyes,Nimes,2,0,H,,,1.6,4.1,8.69,1,,,,,,,,15/12/14,,,,,,,,,,,,,,,,,,1.51,,3.71,,6.99
Sochaux,Angers,1,1,D,,,2.37,3.3,3.62,2,,,,,,,,18/12/14,,,,,,,,,,,,,,,,,,2.22,,3.05,,3.35
Auxerre,Niort,1,1,D,,,2.3,3.2,3.87,2,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,2.17,,3.01,,3.56
Chateauroux,Dijon,1,1,D,,,4.9,3.3,2.2,2,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,4.16,,3.14,,1.94
Laval,Valenciennes,3,1,H,,,2.3,3.1,4.11,1,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,2.15,,3,,3.62
Nancy,Clermont,1,2,A,,,1.75,3.75,6.55,3,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,1.64,,3.53,,5.49
Nimes,Orleans,0,1,A,,,2.58,3.1,3.35,3,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,2.46,,2.95,,3.04
Tours,LeHavre,3,2,H,,,2.72,3.13,3.1,1,,,,,,,,19/12/14,,,,,,,,,,,,,,,,,,2.5,,3.01,,2.92
AjaccioGFCO,Creteil,2,0,H,,,2.1,3.4,4.38,1,,,,,,,,20/12/14,,,,,,,,,,,,,,,,,,1.99,,3.18,,3.79
Arles,Troyes,0,4,A,,,4.1,3.25,2.25,3,,,,,,,,20/12/14,,,,,,,,,,,,,,,,,,3.59,,3.02,,2.13
Brest,Ajaccio,2,1,H,,,1.81,3.5,5.8,1,,,,,,,,20/12/14,,,,,,,,,,,,,,,,,,1.74,,3.3,,4.93
Ajaccio,Nimes,0,1,A,,,1.76,3.55,6.1,3,,,,,,,,09/01/15,,,,,,,,,,,,,,,,,,1.72,,3.36,,5.06
Angers,Nancy,3,1,H,,,2.74,3.2,3.1,1,,,,,,,,09/01/15,,,,,,,,,,,,,,,,,,2.53,,3.01,,2.86
Clermont,Laval,0,0,D,,,2.24,3.17,4.1,2,,,,,,,,09/01/15,,,,,,,,,,,,,,,,,,2.13,,3.03,,3.62
