AthMadrid,Sevilla,2,2,,,,,,,2,,07/03/2020,15:00
Barcelona,Sociedad,1,0,,,,,,,1,,07/03/2020,17:30
Getafe,Celta,0,0,,,,,,,2,,07/03/2020,20:00
Osasuna,Espanol,1,0,,,,,,,1,,08/03/2020,11:00
Valladolid,AthBilbao,1,4,,,,,,,3,,08/03/2020,13:00
Levante,Granada,1,1,,,,,,,2,,08/03/2020,15:00
Villarreal,Leganes,1,2,,,,,,,3,,08/03/2020,17:30
Betis,RealMadrid,2,1,,,,,,,1,,08/03/2020,20:00
Eibar,Sociedad,1,2,,,,,,,3,,10/03/2020,19:00
Sevilla,Betis,2,0,,,,,,,1,,11/06/2020,21:00
Granada,Getafe,2,1,,,,,,,1,,12/06/2020,18:30
Valencia,Levante,1,1,,,,,,,2,,12/06/2020,21:00
Espanol,Alaves,2,0,,,,,,,1,,13/06/2020,13:00
Celta,Villarreal,0,1,,,,,,,3,,13/06/2020,16:00
Leganes,Valladolid,1,2,,,,,,,3,,13/06/2020,18:30
Mallorca,Barcelona,0,4,,,,,,,3,,13/06/2020,21:00
AthBilbao,AthMadrid,1,1,,,,,,,2,,14/06/2020,13:00
RealMadrid,Eibar,3,1,,,,,,,1,,14/06/2020,18:30
Sociedad,Osasuna,1,1,,,,,,,2,,14/06/2020,21:00
Levante,Sevilla,1,1,,,,,,,2,,15/06/2020,18:30
Betis,Granada,2,2,,,,,,,2,,15/06/2020,21:00
Getafe,Espanol,0,0,,,,,,,2,,16/06/2020,18:30
Villarreal,Mallorca,1,0,,,,,,,1,,16/06/2020,18:30
Barcelona,Leganes,2,0,,,,,,,1,,16/06/2020,21:00
Eibar,AthBilbao,2,2,,,,,,,2,,17/06/2020,18:30
Valladolid,Celta,0,0,,,,,,,2,,17/06/2020,18:30
Osasuna,AthMadrid,0,5,,,,,,,3,,17/06/2020,21:00
Alaves,Sociedad,2,0,,,,,,,1,,18/06/2020,18:30
RealMadrid,Valencia,3,0,,,,,,,1,,18/06/2020,21:00
Granada,Villarreal,0,1,,,,,,,3,,19/06/2020,18:30
Mallorca,Leganes,1,1,,,,,,,2,,19/06/2020,18:30
Sevilla,Barcelona,0,0,,,,,,,2,,19/06/2020,21:00
Espanol,Levante,1,3,,,,,,,3,,20/06/2020,13:00
AthBilbao,Betis,1,0,,,,,,,1,,20/06/2020,16:00
Getafe,Eibar,1,1,,,,,,,2,,20/06/2020,18:30
AthMadrid,Valladolid,1,0,,,,,,,1,,20/06/2020,21:00
Celta,Alaves,6,0,,,,,,,1,,21/06/2020,13:00
Valencia,Osasuna,2,0,,,,,,,1,,21/06/2020,18:30
Sociedad,RealMadrid,1,2,,,,,,,3,,21/06/2020,21:00
Villarreal,Sevilla,2,2,,,,,,,2,,22/06/2020,18:30
Leganes,Granada,0,0,,,,,,,2,,22/06/2020,21:00
Levante,AthMadrid,0,1,,,,,,,3,,23/06/2020,18:30
Valladolid,Getafe,1,1,,,,,,,2,,23/06/2020,18:30
Barcelona,AthBilbao,1,0,,,,,,,1,,23/06/2020,21:00
Alaves,Osasuna,0,1,,,,,,,3,,24/06/2020,18:30
Sociedad,Celta,0,1,,,,,,,3,,24/06/2020,18:30
RealMadrid,Mallorca,2,0,,,,,,,1,,24/06/2020,21:00
Eibar,Valencia,1,0,,,,,,,1,,25/06/2020,18:30
Betis,Espanol,1,0,,,,,,,1,,25/06/2020,21:00
Sevilla,Valladolid,1,1,,,,,,,2,,26/06/2020,21:00
AthBilbao,Mallorca,3,1,,,,,,,1,,27/06/2020,13:00
Celta,Barcelona,2,2,,,,,,,2,,27/06/2020,16:00
Osasuna,Leganes,2,1,,,,,,,1,,27/06/2020,18:30
AthMadrid,Alaves,2,1,,,,,,,1,,27/06/2020,21:00
Levante,Betis,4,2,,,,,,,1,,28/06/2020,13:00
Villarreal,Valencia,2,0,,,,,,,1,,28/06/2020,16:00
Granada,Eibar,1,2,,,,,,,3,,28/06/2020,18:30
Espanol,RealMadrid,0,1,,,,,,,3,,28/06/2020,21:00
Getafe,Sociedad,2,1,,,,,,,1,,29/06/2020,21:00
Mallorca,Celta,5,1,,,,,,,1,,30/06/2020,18:30
Leganes,Sevilla,0,3,,,,,,,3,,30/06/2020,20:00
Barcelona,AthMadrid,2,2,,,,,,,2,,30/06/2020,21:00
Alaves,Granada,0,2,,,,,,,3,,01/07/2020,18:30
Valencia,AthBilbao,0,2,,,,,,,3,,01/07/2020,18:30
Betis,Villarreal,0,2,,,,,,,3,,01/07/2020,21:00
Valladolid,Levante,0,0,,,,,,,2,,01/07/2020,21:00
Eibar,Osasuna,0,2,,,,,,,3,,02/07/2020,18:30
Sociedad,Espanol,2,1,,,,,,,1,,02/07/2020,18:30
RealMadrid,Getafe,1,0,,,,,,,1,,02/07/2020,21:00
AthMadrid,Mallorca,3,0,,,,,,,1,,03/07/2020,21:00
Celta,Betis,1,1,,,,,,,2,,04/07/2020,16:00
Valladolid,Alaves,1,0,,,,,,,1,,04/07/2020,18:30
Granada,Valencia,2,2,,,,,,,2,,04/07/2020,21:00
AthBilbao,RealMadrid,0,1,,,,,,,3,,05/07/2020,13:00
Espanol,Leganes,0,1,,,,,,,3,,05/07/2020,16:00
Osasuna,Getafe,0,0,,,,,,,2,,05/07/2020,18:30
Villarreal,Barcelona,1,4,,,,,,,3,,05/07/2020,21:00
Levante,Sociedad,1,1,,,,,,,2,,06/07/2020,18:30
Sevilla,Eibar,1,0,,,,,,,1,,06/07/2020,21:00
Valencia,Valladolid,2,1,,,,,,,1,,07/07/2020,18:30
Celta,AthMadrid,1,1,,,,,,,2,,07/07/2020,21:00
Betis,Osasuna,3,0,,,,,,,1,,08/07/2020,19:30
Getafe,Villarreal,1,3,,,,,,,3,,08/07/2020,19:30
Barcelona,Espanol,1,0,,,,,,,1,,08/07/2020,21:00
Eibar,Leganes,0,0,,,,,,,2,,09/07/2020,18:30
Mallorca,Levante,2,0,,,,,,,1,,09/07/2020,18:30
