Numancia,Almeria,1,1,,,,,,,2,,,,,,,,,02/02/2020,17:15
Oviedo,Albacete,3,1,,,,,,,1,,,,,,,,,02/02/2020,19:30
Santander,Alcorcon,1,1,,,,,,,2,,,,,,,,,02/02/2020,19:30
Almeria,Santander,0,1,,,,,,,3,,,,,,,,,07/02/2020,20:00
Extremadura,Tenerife,2,4,,,,,,,3,,,,,,,,,08/02/2020,15:00
Girona,Huesca,1,0,,,,,,,1,,,,,,,,,08/02/2020,15:00
LasPalmas,Cadiz,1,2,,,,,,,3,,,,,,,,,08/02/2020,17:15
Zaragoza,Fuenlabrada,0,0,,,,,,,2,,,,,,,,,08/02/2020,20:00
Albacete,Ponferradina,1,1,,,,,,,2,,,,,,,,,09/02/2020,11:00
Alcorcon,LaCoruna,0,1,,,,,,,3,,,,,,,,,09/02/2020,11:00
Gijon,Mirandes,2,2,,,,,,,2,,,,,,,,,09/02/2020,15:00
Lugo,Elche,2,2,,,,,,,2,,,,,,,,,09/02/2020,17:15
Vallecano,Oviedo,1,1,,,,,,,2,,,,,,,,,09/02/2020,17:15
Malaga,Numancia,2,1,,,,,,,1,,,,,,,,,09/02/2020,19:30
LaCoruna,Girona,2,2,,,,,,,2,,,,,,,,,14/02/2020,20:00
Huesca,Almeria,3,2,,,,,,,1,,,,,,,,,15/02/2020,15:00
Numancia,LasPalmas,1,1,,,,,,,2,,,,,,,,,15/02/2020,17:15
Oviedo,Alcorcon,1,2,,,,,,,3,,,,,,,,,15/02/2020,17:15
Elche,Zaragoza,1,2,,,,,,,3,,,,,,,,,15/02/2020,20:00
Fuenlabrada,Lugo,0,1,,,,,,,3,,,,,,,,,16/02/2020,11:00
Mirandes,Albacete,1,1,,,,,,,2,,,,,,,,,16/02/2020,11:00
Cadiz,Malaga,0,1,,,,,,,3,,,,,,,,,16/02/2020,15:00
Ponferradina,Extremadura,0,0,,,,,,,2,,,,,,,,,16/02/2020,17:15
Santander,Gijon,0,2,,,,,,,3,,,,,,,,,16/02/2020,17:15
Tenerife,Vallecano,0,0,,,,,,,2,,,,,,,,,16/02/2020,19:30
Mirandes,Zaragoza,1,1,,,,,,,2,,,,,,,,,19/02/2020,20:00
Gijon,Cadiz,1,0,,,,,,,1,,,,,,,,,21/02/2020,20:00
Alcorcon,LasPalmas,1,1,,,,,,,2,,,,,,,,,22/02/2020,15:00
Almeria,Fuenlabrada,0,0,,,,,,,2,,,,,,,,,22/02/2020,15:00
Girona,Ponferradina,2,0,,,,,,,1,,,,,,,,,22/02/2020,17:15
Tenerife,Elche,1,0,,,,,,,1,,,,,,,,,22/02/2020,17:15
Albacete,Numancia,2,1,,,,,,,1,,,,,,,,,22/02/2020,19:30
