Marseille,PSG,2,2,,,,7.55,5.54,1.45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/10/17,,,6.64,,4.98,,1.41
Nice,Strasbourg,1,2,,,,1.63,4.28,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/10/17,,,1.59,,3.98,,5.55
Troyes,Lyon,0,5,,,,5.77,4.2,1.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/10/17,,,5.13,,3.87,,1.64
PSG,Nice,3,0,,,,1.2,9.7,21.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/17,,,1.14,,8.63,,16.46
Bordeaux,Monaco,0,2,,,,2.7,3.7,2.83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,2.53,,3.41,,2.69
Caen,Troyes,1,0,,,,1.75,3.75,6.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,1.67,,3.52,,5.68
Dijon,Nantes,1,0,,,,2.72,3.2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,2.59,,3.09,,2.84
Guingamp,Amiens,1,1,,,,1.75,3.78,6.24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,1.65,,3.59,,5.67
Montpellier,Rennes,0,1,,,,2.08,3.35,4.72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,1.99,,3.16,,4.14
Strasbourg,Angers,2,2,,,,2.76,3.2,2.95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/17,,,2.61,,3.1,,2.81
Lille,Marseille,0,1,,,,3.45,3.62,2.27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/17,,,3.2,,3.39,,2.22
Lyon,Metz,2,0,,,,1.22,8.14,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/17,,,1.18,,7.37,,12.99
Toulouse,SaintEtienne,0,0,,,,2.3,3.25,3.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/17,,,2.22,,3.12,,3.45
Rennes,Bordeaux,1,0,,,,3.43,3.27,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/11/17,,,3.24,,3.17,,2.33
Angers,PSG,0,5,,,,15,7.6,1.26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/17,,,12.48,,6.61,,1.21
Monaco,Guingamp,6,0,,,,1.46,5.1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/17,,,1.42,,4.73,,6.9
Montpellier,Amiens,1,1,,,,1.83,3.4,6.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/17,,,1.77,,3.27,,5.34
Nantes,Toulouse,2,1,,,,2.1,3.25,5.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/17,,,1.99,,3.04,,4.41
Troyes,Strasbourg,3,0,,,,2.9,3.4,2.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/17,,,2.71,,3.24,,2.63
Marseille,Caen,5,0,,,,1.53,4.6,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/17,,,1.48,,4.22,,6.76
Metz,Lille,0,3,,,,3.29,3.3,2.47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/17,,,3.1,,3.19,,2.36
Nice,Dijon,1,0,,,,1.8,3.9,5.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/17,,,1.74,,3.66,,4.74
SaintEtienne,Lyon,0,5,,,,4.2,3.79,1.98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/17,,,3.83,,3.56,,1.93
Amiens,Monaco,1,1,,,,5.6,4,1.73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/11/17,,,5.07,,3.8,,1.68
Lille,SaintEtienne,3,1,,,,2.24,3.35,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/11/17,,,2.12,,3.2,,3.71
