Monaco,Lorient,2,2,None,None,None,2021-02-14T12:00:00Z
Reims,Lens,1,1,None,None,None,2021-02-13T18:00:00Z
Rennes,SaintEtienne,0,2,None,None,None,2021-02-14T14:00:00Z
Angers,Nantes,1,3,None,None,None,2021-02-14T14:00:00Z
Dijon,Nimes,0,2,None,None,None,2021-02-14T14:00:00Z
Metz,Strasbourg,1,2,None,None,None,2021-02-14T14:00:00Z
Lille,Brest,0,0,None,None,None,2021-02-14T16:00:00Z
Bordeaux,Marseille,0,0,None,None,None,2021-02-14T20:00:00Z
Marseille,Nice,3,2,None,None,None,2021-02-17T20:00:00Z
Brest,Lyon,2,3,None,None,None,2021-02-19T20:00:00Z
Montpellier,Rennes,2,1,None,None,None,2021-02-21T12:00:00Z
SaintEtienne,Reims,1,1,None,None,None,2021-02-20T12:00:00Z
Nantes,Marseille,1,1,None,None,None,2021-02-20T16:00:00Z
Nice,Metz,1,2,None,None,None,2021-02-21T14:00:00Z
Lens,Dijon,2,1,None,None,None,2021-02-21T14:00:00Z
Strasbourg,Angers,0,0,None,None,None,2021-02-21T14:00:00Z
Nimes,Bordeaux,2,0,None,None,None,2021-02-21T14:00:00Z
Lorient,Lille,1,4,None,None,None,2021-02-21T16:05:00Z
PSG,Monaco,0,2,None,None,None,2021-02-21T20:00:00Z
Nimes,Lorient,1,0,None,None,None,2021-02-24T18:00:00Z
Bordeaux,Metz,1,2,None,None,None,2021-02-27T12:00:00Z
Dijon,PSG,0,4,None,None,None,2021-02-27T16:00:00Z
Monaco,Brest,2,0,None,None,None,2021-02-28T12:00:00Z
Lorient,SaintEtienne,2,1,None,None,None,2021-02-28T14:00:00Z
Rennes,Nice,1,2,None,None,None,2021-02-26T20:00:00Z
Reims,Montpellier,0,0,None,None,None,2021-02-28T14:00:00Z
Nimes,Nantes,1,1,None,None,None,2021-02-28T14:00:00Z
Angers,Lens,2,2,None,None,None,2021-02-28T14:00:00Z
Lille,Strasbourg,1,1,None,None,None,2021-02-28T16:05:00Z
Marseille,Lyon,1,1,None,None,None,2021-02-28T20:00:00Z
SaintEtienne,Lens,2,3,None,None,None,2021-03-03T18:00:00Z
Lyon,Rennes,1,0,None,None,None,2021-03-03T18:00:00Z
Nice,Nimes,2,1,None,None,None,2021-03-03T18:00:00Z
Brest,Dijon,3,1,None,None,None,2021-03-03T18:00:00Z
Metz,Angers,0,1,None,None,None,2021-03-03T18:00:00Z
Montpellier,Lorient,1,1,None,None,None,2021-03-03T20:00:00Z
Lille,Marseille,2,0,None,None,None,2021-03-03T20:00:00Z
Bordeaux,PSG,0,1,None,None,None,2021-03-03T20:00:00Z
Nantes,Reims,1,2,None,None,None,2021-03-03T20:00:00Z
Strasbourg,Monaco,1,0,None,None,None,2021-03-03T20:00:00Z
Marseille,Rennes,1,0,None,None,None,2021-03-10T18:00:00Z
Reims,Lyon,1,1,None,None,None,2021-03-12T20:00:00Z
Marseille,Brest,3,1,None,None,None,2021-03-13T16:00:00Z
Angers,SaintEtienne,0,1,None,None,None,2021-03-13T12:00:00Z
Nimes,Montpellier,1,1,None,None,None,2021-03-14T12:00:00Z
Rennes,Strasbourg,1,0,None,None,None,2021-03-14T14:00:00Z
Lorient,Nice,1,1,None,None,None,2021-03-14T14:00:00Z
Dijon,Bordeaux,1,3,None,None,None,2021-03-14T14:00:00Z
Lens,Metz,2,2,None,None,None,2021-03-14T14:00:00Z
Monaco,Lille,0,0,None,None,None,2021-03-14T16:05:00Z
SaintEtienne,Monaco,0,4,None,None,None,2021-03-19T20:00:00Z
PSG,Nantes,1,2,None,None,None,2021-03-14T20:00:00Z
Metz,Rennes,1,3,None,None,None,2021-03-20T12:00:00Z
Nice,Marseille,3,0,None,None,None,2021-03-20T16:00:00Z
Strasbourg,Lens,1,2,None,None,None,2021-03-21T12:00:00Z
Brest,Angers,0,0,None,None,None,2021-03-21T14:00:00Z
Montpellier,Bordeaux,3,1,None,None,None,2021-03-21T14:00:00Z
Nantes,Lorient,1,1,None,None,None,2021-03-21T14:00:00Z
Dijon,Reims,0,1,None,None,None,2021-03-21T14:00:00Z
Lyon,PSG,2,4,None,None,None,2021-03-21T20:00:00Z
Lille,Nimes,1,2,None,None,None,2021-03-21T16:05:00Z
Monaco,Metz,4,0,None,None,None,2021-04-03T11:00:00Z
PSG,Lille,0,1,None,None,None,2021-04-03T15:00:00Z
Lens,Lyon,1,1,None,None,None,2021-04-03T19:00:00Z
Lorient,Brest,1,0,None,None,None,2021-04-04T13:00:00Z
Angers,Montpellier,1,1,None,None,None,2021-04-04T11:00:00Z
Bordeaux,Strasbourg,2,3,None,None,None,2021-04-04T13:00:00Z
Reims,Rennes,2,2,None,None,None,2021-04-04T13:00:00Z
Marseille,Dijon,2,0,None,None,None,2021-04-04T19:00:00Z
Nimes,SaintEtienne,0,2,None,None,None,2021-04-04T15:05:00Z
Nantes,Nice,1,2,None,None,None,2021-04-04T13:00:00Z
Strasbourg,PSG,1,4,None,None,None,2021-04-10T15:00:00Z
Metz,Lille,0,2,None,None,None,2021-04-09T19:00:00Z
Nice,Reims,0,0,None,None,None,2021-04-11T13:00:00Z
SaintEtienne,Bordeaux,4,1,None,None,None,2021-04-11T13:00:00Z
Rennes,Nantes,1,0,None,None,None,2021-04-11T11:00:00Z
Montpellier,Marseille,3,3,None,None,None,2021-04-10T19:00:00Z
Brest,Nimes,1,1,None,None,None,2021-04-11T13:00:00Z
